scrape_date,scrape_timestamp,dining_hall,campus,meal_period,item_name,serving_size,source_url,nutrition_link,calories_kcal,total_fat_g,sat_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,fiber_g,sugar_g,protein_g,is_vegetarian,is_vegan,is_high_protein,is_low_calorie,is_low_sodium
05/07/2026,2026-05-07T18:01:57,The Atrium,Busch,Dinner,SPANAKOPITA MEZZE,1 EACH,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=13&locationName=The+Atrium&dtdate=05/07/2026&activeMeal=Dinner&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=13&locationName=The+Atrium&dtdate=05%2f07%2f2026&RecNumAndPort=130428*1,571.0,19.6,6.2,0.0,7.4,1293.7,,9.1,11.3,16.3,True,True,False,False,False
05/07/2026,2026-05-07T18:01:57,The Atrium,Busch,Dinner,BAKED BROWN RICE,4 OZ,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=13&locationName=The+Atrium&dtdate=05/07/2026&activeMeal=Dinner&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=13&locationName=The+Atrium&dtdate=05%2f07%2f2026&RecNumAndPort=163001*4,201.0,1.6,0.3,0.0,0.0,119.0,,1.9,0.5,4.3,True,True,False,True,True
05/07/2026,2026-05-07T18:01:57,The Atrium,Busch,Dinner,FARRO,5 OZ,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=13&locationName=The+Atrium&dtdate=05/07/2026&activeMeal=Dinner&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=13&locationName=The+Atrium&dtdate=05%2f07%2f2026&RecNumAndPort=165260*5,130.0,1.5,0.0,0.0,0.0,139.9,,3.0,2.0,5.0,True,True,False,True,True
05/07/2026,2026-05-07T18:01:57,The Atrium,Busch,Dinner,STEAMED WHITE RICE,4 OZ,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=13&locationName=The+Atrium&dtdate=05/07/2026&activeMeal=Dinner&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=13&locationName=The+Atrium&dtdate=05%2f07%2f2026&RecNumAndPort=163017*4,196.0,0.3,0.1,0.0,0.0,115.8,,0.8,0.3,3.6,True,True,False,True,True
05/07/2026,2026-05-07T18:01:57,The Atrium,Busch,Dinner,FAJITA VEGETABLE,1 EACH,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=13&locationName=The+Atrium&dtdate=05/07/2026&activeMeal=Dinner&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=13&locationName=The+Atrium&dtdate=05%2f07%2f2026&RecNumAndPort=130448*1,56.0,0.3,0.1,0.0,0.0,5.7,,2.6,4.7,1.8,True,True,False,True,True
05/07/2026,2026-05-07T18:01:57,The Atrium,Busch,Dinner,FRESHLY MADE HUMMUS,3 OZ.,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=13&locationName=The+Atrium&dtdate=05/07/2026&activeMeal=Dinner&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=13&locationName=The+Atrium&dtdate=05%2f07%2f2026&RecNumAndPort=143101*3,95.0,3.0,0.3,0.0,0.0,272.3,,2.7,0.4,3.7,True,True,False,True,True
05/07/2026,2026-05-07T18:01:57,The Atrium,Busch,Dinner,GRILLED VEGETABLES,1 EACH,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=13&locationName=The+Atrium&dtdate=05/07/2026&activeMeal=Dinner&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=13&locationName=The+Atrium&dtdate=05%2f07%2f2026&RecNumAndPort=130449*1,57.0,1.6,0.2,0.0,0.0,86.8,,3.1,4.4,3.5,True,True,False,True,True
05/07/2026,2026-05-07T18:01:57,The Atrium,Busch,Dinner,HORIATIKI GREEK SALAD,3 OZ,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=13&locationName=The+Atrium&dtdate=05/07/2026&activeMeal=Dinner&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=13&locationName=The+Atrium&dtdate=05%2f07%2f2026&RecNumAndPort=165203*3,75.0,5.1,2.3,0.0,12.1,447.7,,1.1,2.3,2.7,True,True,False,True,True
05/07/2026,2026-05-07T18:01:57,The Atrium,Busch,Dinner,MEDITERRANEAN LENTIL SALAD,2 OZ,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=13&locationName=The+Atrium&dtdate=05/07/2026&activeMeal=Dinner&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=13&locationName=The+Atrium&dtdate=05%2f07%2f2026&RecNumAndPort=019947*2,31.0,1.3,0.2,0.0,0.0,77.2,,0.6,0.4,1.4,True,True,False,True,True
05/07/2026,2026-05-07T18:01:57,The Atrium,Busch,Dinner,SEASONED WAFFLE FRIES,4 OZ,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=13&locationName=The+Atrium&dtdate=05/07/2026&activeMeal=Dinner&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=13&locationName=The+Atrium&dtdate=05%2f07%2f2026&RecNumAndPort=161029*4,291.0,20.0,2.1,0.0,0.0,448.5,,2.6,0.0,2.6,True,True,False,True,True
